Text: 追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏，也能长知识。欢迎收听机核网加九 pro 朋友，你再也不用担心被揭幕安利的时候找不到那个游戏了。你也再也不用担心，因为主持人的英语不好而听不懂游戏名称了。希望新版官方网站终于上线，边听边看风光无限。三 w 点 g 杠 CORES 点 com 我们不见不散，, Start Time: 27700
Text: 哦，对，然后这个那这个呃怎么说呢？那那那他们这个是由谁创立的呢？其实他说很扯的是，他说应该是由夏娃了。长子该影创建的这个就是完全游戏杜撰的是吧？对，这完全是游无杜撰。因为我们知道该影他是一个圣经里的角色，当时是他因为极度杀了他的，杀了他自己的弟弟亚伯。因为就是亚因为他爸妈偏爱的问题，, Start Time: 1943070
Text: 他杀了自己的亚伯。而在很多奇幻小说里面，盖伊也就被传说就成为了这个吸血鬼血鬼的这个始祖就是甘影，因为他被上帝诅咒之类之巴拉巴的。但就是在这个游戏里面呢，就是他是他是夏娃长子，他自己他建立了这个圣殿骑士团。嗯，对，圣殿圣殿骑士团，而且就一直在地下地下这个活动刺客组织也一样，, Start Time: 1970310
Text: 也是在这个差不多是这个阶段建立的。嗯，也就是他们诞生之初，就是一个相爱相杀的状态了。然后就是他们都在追逐一个叫伊甸碎片的东西。对，伊甸碎片这个东西是一个非常重要的帮助星科技。对，就是黑科技去帮助他们，完成他们自己各自的理念。他们有各种不同的理念，那 macmmmo k 都需要用这个伊伊碎碎片达达确确实。, Start Time: 1991400
Text: 但听你讲这么多感觉像在讲史实一样。对对对，就就就是觉得嗯言之凿凿就特别那 OK。那我们接下来，然后我们就回到我们这个我们看到的就是历史书上记载的这些历史了。 OK，那我们首先知道啊，我们斯拉三拉勇士士是那啊对不对？这个就是这这场战争中间进攻希腊的，这个就是我们的薛西斯，, Start Time: 2014940
Text: 对吧？在游戏呃在那个三百勇士里面，对，就是就是巨性感。然后古铜色体小米五那个一看就觉得是个基佬，不知道为什么。然后就是就是他他背后呢，他背后就是由这个圣殿骑士团支持的。然后然后那个那嗯我们知道亚历山大大帝，也就是希腊，最后统领这个希腊城邦这个联合起来，然后并且一路打到这个喜马拉雅山的这个这这位亚历山大亚历山大大帝背后也是圣殿骑士。, Start Time: 2037870
Text: 嗯，然后呢感觉非常胡逼。对，非常胡逼。但是他最后他是死在巴比伦的，嗯呃但史记记载他是病死了。但是这里面说他其实是被巴比伦的一个刺客组织，我们刺啊撒信，那刺客这个这这个刺客组织刺杀的，而且恨跟扯是嗯，然后后来呢在东方啊秦始皇的统一统一，中国背后也是圣殿骑士。, Start Time: 2066010
Text: 这是哪儿？看这游戏当中介绍过吗？这是他的一些官方设定集里面说的。我操。对，尽管游戏里面游戏里面有一些 codex 中间有编边角角有讲到这样一些。我操他看来他在这个创立之初在设定的时候，就已经把各国的那个历史要能做到游戏里的这个都都已经对铺好底了。对对对对对，, Start Time: 2090230
Text: 然后他这个刺杀秦始皇呢？秦始皇我们历史记载他也是暴毙。而且当时我们历中国历史书，觉得他可能是胡亥或者赵高的阴谋。对，但是他这陷害复苏自己上位。对，但是他这面说刺杀他的是中国的刺客卫语，而且这个这个叫卫宇的这个刺客特别做编出来的人应应是编编出史记，中门门全没有。, Start Time: 2112270
Text: 但是他用的武器竟然是长矛。嗯，我他妈真不知道他当时怎么当时用长矛刺毙，而且当时秦始皇不是已经收了天下兵器，浇筑十二柱十二宗同人了呢？当时他是怎么拿到这个，他怎么会有这么大的一个武器进入阿房宫的呢？这这个完全不知道，而且就是啊当时这个当然这个这个人你在刺客信条游戏中是可以看到的，, Start Time: 2132530
Text: 他是在刺客信条二，我记得刺客信条二，他弟弟有一个他的大本营，他里面不是最后有一套甲是可以解锁的。对，然后好几个雕像，他旁边几个这个那些传奇人物，对传奇人物，其中卫宇就是那个拿长矛的那个中国人。对，你看一下那个是卫宇。对，然后这个呃而且后面很有意思。罗马帝国这个我们知道罗马帝国有元老院三 senate，, Start Time: 2153840
Text: 他元老院背后呢，也是圣剑骑士团。然后呢，这个凯撒当任的时候呢，当时四十名大概有四十名刺客渗透进了元老院，然后最后刺杀了凯撒。但我们因为我们知道凯撒的确是被刺杀，然后后他那些刺刺客是就是阿萨斯斯那个人。对，然后呢，这个埃及艳后呢，我们后来知道埃及艳后巴罗克拉，, Start Time: 2176020
Text: 巴巴罗巴特拉克罗巴特拉这个他他他是自己最后啊好像是安东安东尼安安安东这个他那个这个罗马大将也是兵败了，就被在跟屋大维斗争中兵败了，然后他最后自己自己放毒蛇，让毒蛇咬死了自己。对，但是但是他说这个放毒蛇其实是刺客各放的，可是阿萨信 OK。呃，然后这个耶稣呢我们连耶稣都被扯进来了。, Start Time: 2197260
Text: 这个耶稣也是因为我有连圣殿伊甸碎片，所以他能当时说他有神迹嘛，能把那个别人切掉，耳朵能够还原还原啊，能够医医疗人，能够让让一个恶的人把一堆恶的人全都填饱。这些神迹都是因为伊甸碎片碎片。然后他也是因为他拥有这一件碎片，然后被圣殿骑士团阴谋刺死在了十字架上面。, Start Time: 2222830
Text: 对，所以圣经里的故事都跟这个有关系。对对对，而且这个而且很有意思的是，他在说嗯这个十一世纪末呢这个这个这个成立这个圣剑骑士团人叫圣圣博尔纳德。那他这个他他那个时候其实他并不是创立，而只是让他这个组织浮出水面，而且开始跟教会合作。想想挺讽刺。最后其实耶稣是被他害死了，, Start Time: 2243165
Text: 他就跟教会合作了。嗯，一转眼就开始用十字架，这个作为自己的他自己的信仰了，这非常奇怪。然后呢，那这个也差不多。这个时候呢，既然圣剑骑士团浮出水面了，我们这个哈桑艾萨巴萨巴呢，他当然也要浮出水面了，刺客信条也就浮出水面了。对，就是我们正士中间，我们刚才说这两方圣立中老人不觉得的确的确离得挺近的嘛。, Start Time: 2269420
Text: 对对，然后然后这刺客信条刺客刺客组织也浮上水面了，而且在这个马马西亚就是那个刺客的城堡。对对对，他开始这个圣剑立派了，而且就是直接公开刺杀圣骑圣殿骑士，鼓励人民去反抗圣剑骑士。对对人民的不压迫这个这个这个这个组织成立了这个浮出水面的一个世纪之后呢，也就是我们游戏第一座的故事开始的时候，, Start Time: 2293040
Text: 所以前面都是他整个玉璧在为这个大的系列做的铺垫。对，也就是说在其实我们在刺客信条一，就所有故事第一座之前，他其实也历史上面，他篡改了好多历史铺做了很长的一个，但他不是篡改，他是把那个洞给补上了。对，用自己的方法给补上了。对对对，他用自己的脑洞填补历史的洞。, Start Time: 2317690
Text: 对对，然后也不能说他篡改历史，因为人家好像史实发生过的，他也没有改，哎，都是坏人，都是坏人，但是比较胡逼。对，那这个一二二七年我们知道啊，我们这个只持弯弓射大雕的成吉思汗病逝了。但是其实根据这个游戏设定，他其实是死在阿泰尔夫妇，还有他儿子，还有蒙古，一个叫蒙，, Start Time: 2338770
Text: 一个叫高曲兰的蒙古刺客的手里面。也就是说这也是他们干掉的。然后然后阿泰尔晚年以后呢，这个在蒙在，因为蒙古西军大军嘛，他在他们压力下面呢，刺库刺客组织往西走了，就西迁到了意大利，转入了地下圣剑，骑士团呢也开始也跑了塞浦路斯。那其实有刺客信条一之后，他们在 PSP 上有出一个作品。, Start Time: 2362810
Text: 那个就是那个当时阿泰尔，我们二大爷去这个这个塞浦路斯啊，去去那边去去那个执行任务，对执行任务跟那个圣剑骑士团打的这样一个一个一个故事。那十四世纪初的时候呢，这个其实当时我们说美男菲利，其实他背后是刺客组织，刺客组织刺劝说了这个美男菲利去消灭这圣剑骑士团。所以哦所以我们雅克德莫莱其实是死在我们这个刺客的怂恿之下。, Start Time: 2386980
Text: 对对对对对，所以那个序章里面烧死那个雅克德莫莱的国王，就是这个就是菲力美男子，菲力对他其实背后是刺客组织。嗯，那那等于教皇也被刺客蛊惑了吗？当时应该说刺客主要还是攻攻攻打，这个就是主要是攻略这个这个国王那条线，那国王自然他他他就开始用他的关系跟教皇讨论这个事情了。, Start Time: 2415760
Text: 对对，那这个差不多呃，这个圣剑骑士团也就展开了报复，他们在意大利疯狂报复这些刺客。然后这个你知道就是在但丁我们伟大师人，但丁也是既然也是一个刺客，马可波罗也是一个刺客，然后这两个刺客都是被他们干掉的这也就是我们这个刺客信条二十三部曲那个那段时间前后的事情了。, Start Time: 2439060
Text: 对，马可波罗马可波罗连，但丁也是，就当然不是那个那个鬼气里那个。但丁了。对，就是就是历史中那个诗人，但丁诗人，但丁神曲那个但丁他也是一个刺客 OK。那我们这个讲讲到讲西方，这与此同时，中国的正值明朝朝个时候，明朝很扯明朝他的那个刺刺客织领领是是谁呢？居然方方孝孺这个方孝孺，, Start Time: 2461750
Text: 方孝孺，他当时我们知道他就是文文帝的这个文帝帝的个个辅佐帝帝帝。嗯，建文帝是朱元璋，就朱元璋的这个孙子，但是朱元璋的儿子当然不高兴，他孙子继承王位了。那个就个我们永乐帝朱帝嘛这个这个这个当时还是燕王的时候，所以朱棣背后居然站的是世内骑士团，他们怂恿朱棣展开了近难之役，, Start Time: 2486060
Text: 也就是从攻打南京，然后这个晋文帝从此失踪。然后那个这个永乐帝登上帝位，那么就这样的话，这个刺客基本上在中国也基本上就完蛋了，这个也也就是被被压制了。这个但是永乐帝呢，他自己这里面这本记载是死于一个叫李同的刺客的手里面。而这个刺客，但是刺客后来一直到嘉靖帝的时候，, Start Time: 2508820
Text: 中国基本上全军覆没了。这当时孝孺后宫有个妃子叫邵少君吧，当时他逃了出来。也就是我们后来在一个那个刺客信条的一个一个动画短片。中间我们一看到他一直跑跑到意大利去来找 SCO 哦，那个就是这个事。对，就是少军。对，而且就是我们马上就是这个大革命，他会有一个资料片，, Start Time: 2531880
Text: 就是讲那个 assessing screen china。对中中国这样这样一篇就是就是那个主角，就是少君，就那封面上面就是那个带着斗篷手里背后背一把剑，就就等于是中国刺客组织几乎被圣剑骑士团全干掉了。然后然后跑出来的一个女刺客，对他就是求向 ISU 求助，, Start Time: 2551990
Text: 要重建中国的刺客组织 SU 就当当其其他已经不愿意出山了，因为已经年迈。对，但还是他还是告诉了告诉少军很多事情。然后少军后来邵军就回到了中国重建中国刺刺刺客织，而且中国刺客客跟其他地方还不一样的是，就是地方刺客全都用的是袖剑刺客。呃，中国刺客用从不是袖箭刺中国的中国，, Start Time: 2568890
Text: 他的暗器。中国刺客的暗器藏在脚茄子上面，就鞋尖上面一撮肩的就是一脚。就就你知道就是那种中国以前那些那邵氏喜剧的那个邵氏武武侠片的那种剧还行，不是我觉得挺喜剧，就是邵氏那些经典武侠片的那里头，那个血里藏刀，对，血里藏刀。对，然后这个那这个 OK 那我还挺期待这资料片呢是是挺期待的，, Start Time: 2589130
Text: 然后是另外一种游戏的那个方式了，好像不是那个刺客那种东 d 对，但是那种他是那种二 DD 的动作的似的。对，有点像那个莱曼呃，雷曼那个那个那个那个感觉个。然后圣圣骑骑士们马上进入工业革命时候，圣剑骑士团慢慢就企业化了。对，但是我想插插问一个问题。对，就是圣剑骑士不是就是这个刺客信条。, Start Time: 2614560
Text: 阿萨信组织其实诞生于穆斯林的一个教派对，那他为什么可以辐射到整个世界？全球包括中国了，那你这么说，圣剑骑士团还是一个基督教的教派了，他为什么还把耶稣稣的弄死了？对，就是说其实他是扯淡是吗？对，其实他们根本在他们所表面的宗教后面，他们有更大大的理想。对，就就这是玉璧的设定和玉璧的解读，, Start Time: 2637000
Text: 那些都是表面的东西。其实他们最终还是要夺得这个伊甸碎片之类的东西。对，他们就是要夺得伊甸碎片，所以跟宗教什么其实没什么关系。对，只是一个 excuse 而已，只是一个旗号而已嘛。那甚至其实谈到工业革命之后，他就开始企业化了。我们知道几个非常有牛逼的这样一个，, Start Time: 2659530
Text: 难道方孝儒是穆斯林吗？不是穆斯林啊，是啊，不他他不你你说你回民对他不是，那你这么说回民，那那得郑和才是刺客了，对对吧？对吧？但那不是真不是那个那那圣剑骑士。后来他到近近代以后就开始企业化了。那我们知道爱迪生福特菲尔斯通这些，我们知道这些啊这个他们商界的那些大佬。, Start Time: 2677650
Text: 那特斯拉呢特斯拉不是特斯拉，是刺客。然后他们总之就我们说爱迪生、福特菲尔斯通这三个人的是圣殿骑士。那特斯拉背后是其实是刺客了，而且他那个官方有个漫画，漫画就是讲那个什么。对我们现在接着讲漫画，漫画也有涉及的内容。比如说他说林肯，其实林肯是唯一一个不是被刺客刺杀，, Start Time: 2702490
Text: 而是被圣剑骑士团刺杀掉的啊，也就是说圣剑骑士团就是就是就是反而放弃他们老本行，反而去直接搞暗杀，然后就干掉林肯。那我们知道那个俄国妖僧就是拉普斯廷，他就是传说中人类那个男性中间某个部位最长的这样一个人啊，是，而且而且那那个标本现在还保存在那个一个博物馆里头，, Start Time: 2725670
Text: 特哪儿啊？在俄罗斯，你得问一兵了，你这个得问一兵了。行，然后这个这个这个他呢，当时这个他是俄国著名妖僧，他就是他特别擅长蛊惑人性。而且当时他在俄国这个贵族圈里混的特别好，而且他跟当时瓦槽成千上百的那个贵贵贵妇有染，嗯，就是呃使用它的长处，长处还行。然后总之就靠他这个控制着整个俄国的贵族，, Start Time: 2748825
Text: 然后他就是靠这个伊恋碎片的，因为他靠着伊恋苹果，因为伊恋苹果有蛊惑人心力量。而的确历史上的确他是一个很奇妙的能用言语和长处去蛊惑人心的人。嗯，对，那后来呢我们 OK 我们接着讲，后来俄国历史呢就是有列宁列宁。我们知道我们伟大的无产阶级领袖列宁同志，他背后也是有刺客组织，, Start Time: 2777340
Text: 刺客组织在支持的。但是斯大林呢是是圣剑骑士团细作，他一直潜藏在列宁身边，把他竞争者干掉之后，列宁把位置传给了他。对对，从从此这个这玩意，然后这个苏联就变成现在我们看到的这个样子。那一九三七年这个叫 absturgo 这样一个企业就开始建立了游戏里的那个对大型集团公司。, Start Time: 2801920
Text: 对，就是那个什么呃，就是他们建立这个虚拟体验，这个对 abp 斯 go 成立的这么早啊，对，一九三七年成立的。而这个而且我们后来看到这个月球，这个我们知道阿波罗登月计划其实是圣圳骑士团在美国政府那那后面推动的。而肯尼迪总统当时因为反对，所以被刺杀了。然后尼迪是因为这个被刺杀的对，, Start Time: 2823260
Text: 他们为什么要去月球呢？因为月球上有一块伊甸碎片，嗯，所以当时那个他们派那个阿姆瑟朗去去去月球，就是为拿回这一块伊甸碎片，然后这个这个撒切尔夫人叶里青和普京都是圣殿骑士，保证一下，问问普丁。然后两两千年美国大选，当时不是布什跟戈尔吗？嗯，布什背后就是圣殿骑士，, Start Time: 2847460
Text: 戈尔背后就是刺客，这个真的是特别扯，对，这些游戏里都没出现过。没有这些。有些是啊，包括那个对我刚刚说的那个斯特斯拉嘛，说那个当时他制造那个当时他制造这个通古斯大爆炸，就是特斯拉啊，就说那通古斯多大爆炸是特斯拉搞的。对，而且特斯拉当时搞通古斯大爆炸，是为了毁掉一那一个一电碎片。, Start Time: 2870620
Text: 哦，对，然后就就是就是有这个容量太大，所以爆炸了爆了那么大的一。对对对对对，这是一个设定。然后这个然后 OK 啊，那这个我们刚刚讲了，他们为了一电碎片，这个打了那么多年，打了几千年的时间。那为什么他们要这个要这个一电碎片，而一电碎片，或者他们理念到底是什么？, Start Time: 2894900
Text: 大家现在听着可能有点云里雾里的对，第一那第我我们就要讲到一个很很重要的玉币，算是一个比较科幻的设定。他就说了，在我们人类文明之前，其实还有一个文明，它就是我们所知的第一文明或者叫先行者。嗯，那这第一文明其实它跟人类长相呢，怎么说像有点像，但有点不一样。对，, Start Time: 2914440
Text: 就是他首先他个子比人类要高一点。对，而且它容容量比人类大了三分之一，而且人类我们不是有无感嘛，他们有第六感，那这至于第六感什么？我们当然我们是普通人类，我们也不知道。但是这第六感是这个先行者非常重要的一个一个一个特点吧。而且他们是按照自己的形象创造人类，而且把它当成一种特别容易控制的劳动力。, Start Time: 2936550
Text: 当然当时他应该是从类人猿改造出来的。哦，对对对，也就是这个是普通起源，他也给写进去了。对，连连这个物种起源他都写进去了。他就是说他并不是自然进化的结果，而是一个天外来客。他们不是天外来客，他们可能就是地球的原著名。最早那个文明对最早文明指数。因为我们那个时候人类还都是类人猿，, Start Time: 2958090
Text: 没有文字，没有记忆。也就是人类其实他们的机器人类似于仿生机器人人对对，他们只是没有活活用，他们不是凭凭造造出来，只把就就一一个物培培养基基因工培养养成一个跟他们一样的物种在这个设定里的意思。对对对，然后他这个而且这个圣殿骑士团呢，他们发现了这个呃他们他们这个他们其实圣殿奇人原本也不知道自己，, Start Time: 2977990
Text: 他们也并不是很明确自己到底是怎么回事。嗯，所以他们为了这个掩盖，后来他们发现这个事情不希望人类多数人类知道。所以他们呢就在什么知道那个知道人类之前，人类是第一文明创造的啊，所以为了掩盖这个呢，他们就在伪造了一个人类祖先的遗骨，也就是我们南方古猿啊，就是就就是就是他把他埋在了埃塞俄比亚，, Start Time: 3000400
Text: 就是我记得旅旅克贝松前前段时间不是还拍了一个电影，就叫 luclucy 吗？ lucy 里边那个不就他有一个对他女性的那个类人员，对对对，手指头还碰了一下。所以对对对，就是这个南方古猿 lucy，然后这个那这个嗯他们那他们怎么控制呢？我们说他们创造人类是为了有劳动力，, Start Time: 3023240
Text: 那人类我们都觉得人类有自由意识，他怎么控制？那很简单，就像我们做电脑成绩一样，留后面留个后门就好了。嗯，他就在人类的脑中呢留下一个神经传导器。那这神经传导器呢，他们就可以用一个叫伊甸园碎片的东西，控制人类的性质。哦，对，所以说为什么说呃就是说呃为什么说我们后面我们刚刚历史上提到了，, Start Time: 3042240
Text: 说比如说这个拉夫斯汀，他可以用伊甸园碎片去控制别人的这个行为。就是因为就是因为人类类脑中有一这样样一个后门。然后呢，这个这个怎么说呢？后我们我们人类到底是怎么开始？我们亚当夏娃，我们所谓的第一个人类是什么东西呢？亚当夏娃其实是最早的就是一个开始反抗第一文明的这样一个一群人。, Start Time: 3062790
Text: 我操好合理啊，听着他们偷走了第一个伊甸碎片，伊甸苹果，嗯，这不就是失乐园吗？对啊，你当时如果去解锁 SU，在刺客信条二中间解锁解锁 SU 的这样一个段记忆，他会一个短片，他们慢慢就是慢慢的就是几就几秒钟几秒钟给你解锁。最后你看到就是撸就是露啊，不是 lulucy 了，, Start Time: 3086190
Text: 就是亚当和夏娃他们两个人偷着苹果，然后两赤身裸体的在一个特别现代的就是第一文明，它的建筑物上面逃走。所以说那个时候也就是就是打个比方，就是咱们自己创造出的机器人生化人。对，然后突然间拥有了自由意识逃跑了。对，他们拿着我们电脑控制终端，抱着那个电脑逃走了。嗯，, Start Time: 3107710
Text: 对，然后这个啊他们这个人类，因为这个他们第一个开始反抗，他们偷走了苹果之后呢，很多人开始就没有控失去控制了。那人类他就开始用自由的意志，自由的意志开始反抗了，战争就开始爆发了。就第一文明跟人类战争就开始爆发了。这个先行者虽然科技非常强，可以碾压人类，但是人类嘛那那个时候就感觉像星星争霸里面虫族一样，, Start Time: 3126570
Text: 数量特多，人数特别是劳动力。对对对，然后但这个时候当发生一一场天灾，哇，这音乐抽的太好，世界末日了。对，世界末日就是一个叫巨型太阳班耀啊耀啊耀斑抱歉，巨型太阳耀斑引起了地球磁场整个倒转。然后而且说二零一二年地球磁场也要倒转，结果没转了，没转了。对，然后然后就发生地壳运动非常强，, Start Time: 3149980
Text: 地壳运动，火山岩浆之类的。这个就开始就就就出现了。那这个当时其实在这个事情爆发之前呢，有三位这个先行者，也就是第一文明的成员，他没有去参加对人类的战斗。嗯，因为他们当时他们是一群科学家，他们就是在他们觉得有他们当时预感到了有这样一个可能，就是出现会毁掉整个文明。, Start Time: 3176000
Text: 所以当时他们一直在研究怎么应对这个可能会有的这个耀斑。那么他们当时有啊，他们这三位名字叫就叫做朱比特、朱诺和密涅瓦。对，这就是我们知道神对我就是罗马神话中间三个神，也就对应的就是希腊神话中间的这个宙斯呃宙宙斯赫拉拉那那个雅典娜。嗯，对，那这这个这这三这三个先行者呢先想出了六种方法去抵御这个斑窑啊，, Start Time: 3197060
Text: 这也很有意思，要斑要耀斑。抱歉，这这个有点像那个就是有点看像独三体的感觉。就是首先第一个方法就是他们要建立四座四座高塔，然后他们去去太在太阳堡面表面呢去收集这些耀斑。然后呢，然后在太阳耀斑爆发的时候，发射抱去中和这样一种冲击。当然这个这个这个发现这个工期太长了，, Start Time: 3226230
Text: 他们做来不及来完全来不及。那么还有一个办法，就是用一种放大版的一电碎片，然后就是说这个放大版一电碎片去，整个把地球的表面全部盖住。这样子的话，那个那那些那些那那种冲击自然就到达不了地球了，嗯，就可以保住地球。但是后来发球但是不了问题了。你想整个盖住地球表面，, Start Time: 3252110
Text: 你要多少的资源？所以话他们想把这个把这个呃尺寸缩小缩小成这个一半缩小成四分之一，六分之一。哪怕一个城市，但他们发现即便要造这样一个东西还是很难。所以所以所以所以没办法，他们也放弃这样一个这个这个这个这个计划。那么第三个方法就是嗯们苹苹果发射到地球球轨道上，, Start Time: 3271470
Text: 把好把十二苹果发呃，把好几个苹十二个苹果发射到地球轨道上面，苹果多嘛，其实苹果数量不成问题，他们他们有很多一点碎片是不成问题的。这样一点碎片其实就是问题。当然，一点苹果是一一碎片片，一种有好多种异点碎片苹果。当中夏娃就拿走了其中一个对对对，其实其实他们有很多，, Start Time: 3296430
Text: 其实他们有很多苹果。那他们你把苹果丢到这个地球的这个轨道上面，而且不停发出信号，叫 make up safe，让我们安全，让我们躲过这次灾难。这样的话人类人类就会受到这样的一个影响。人类数量很多嘛，那么他们就会集思广益去蹲下来，想他们去会努力去达成这样的结果。, Start Time: 3316360
Text: 因为你可以控制它神经哦，他就会很多人就会开始想。但后来是因为他们技术实在不能够就精确的就是把这十二个苹果送入正确的轨道。所以这个方法最后最后也失败了。那么那么这个后来还那接下来办法没办法，就是要加强身体了。就是他们把自己的身体加强做，把自己金变成一种金属质的那种外皮，, Start Time: 3334600
Text: 去抵抗可能到来的那种气候变化之类的东西。但这个也失败了。那后来还有一个方法，就是那我们身体加强不行。那我们不妨把我们的意识就是把你的脑子这个分存到一个容器里面。那只要我们这个容器能够活下来的话，我们意识理想还能思想还能活下来。那我们以后再找肉体不就好了吗？, Start Time: 3359290
Text: 但是后来就是就是朱 juno 朱诺的朱诺，就是这里面三个先行者之一。她老公参加了这样，她丈夫参加了这样一个项目，但是后我们结果非惨。但但是后来家在那个应该是在启示录中间二代二代的启示录中间大家能够能够看到，就是他们就是当时她给你参加了他丈夫夫是怎回回事，就朱诺会亲自跟你讲述这个故事，, Start Time: 3377750
Text: 就是二代的结尾。嗯，对，碰见朱诺。对，二代结尾你碰到朱诺，后来在后面几个就是兄弟会，还有那个启示录，这这几部作品中间，他会慢慢跟你说，当时他们这个先行者发生怎样的故事？嗯，那还有一个就更扯了，就时间旅行了。当然我们知道时间旅行，他们他们最终也失败了。那么那么这个密涅瓦呢，, Start Time: 3401530
Text: 我们这个智慧女神密涅瓦，她最后发发发现了就另外一种方法，就是说就是这个其实挺玄乎的，他就创造了一个一个仪器吧。然后他他那个他他创造一个基座，那基座呢只要你拥有正确的基因，你就可以激活这个基座。然后然后然后你就可以控制这个控控制这一些一系列的这个数字公式，用这些他那一系内部的系统去拯救地球，, Start Time: 3424530
Text: 但是他还没有来得及测试。这个这个他就发现这个朱诺啊，就是已经已经因为丈夫已经为这个计划现身中诺失里心理失衡的朱诺，他对这个仪器做了手脚。然后这个一旦这个基座，他发出这个这个那种那种冲击波，去拯救整个地球的。那个时候呢，也是那一天也是密令，就是朱诺他自己会完全控完全控制这样一个基座，, Start Time: 3450170
Text: 甚至整个星球上星球上的人。所以呢所以他就强行终止这种方法。因为他不希望让朱诺这样的一个人去主宰主宰所有人的命运。所以说所以说这个这这个这个没有办法，这个时候灾难这个时候就降临了，那两族也有方法，没有一个能实现。对，第七个方法本来可以能实现，但是因为这个人做了手脚就不行了。, Start Time: 3475810
Text: 嗯，那所以这个这个两族元气大伤，这这是中就是就是人类跟先行者都是死的特别惨。那么他们就只能没办法，只能开始合作了。但是因为先行者本来生命力就比人类要差很多，嗯，有点像神族那个感觉，所以他们就开始啊慢慢就开始灭灭绝。而人类的记忆就慢慢消散，所以就在人类技术他们就变成遥远的神神。, Start Time: 3497780
Text: 对，所以朱诺啊这个密涅瓦这些就变成罗马神话中间这个神。然后而且但是这这三个人他们知道就是这场摧毁了第一文明的灾难，肯定还会再一次发生，是什么时候呢？二零一二年明白了吧？我操原来如此。对，所以他们他们的这个他们绘制了一个就录制了一个可以互动的全息图呢，留在了各地的密室中间。, Start Time: 3519420
Text: 那我们记得就就是后人。对对，就是让这个后人去寻找到这些东西，拯救人类。那么 OK，那我们就是那个 ICO 最后进到朱庇特留下的那个影像。对对对对对对，确实就是那些一系列东西，包括他在那个刺客信娘二里面，他到那个那个梵蒂冈那里头，不是他用那个。他也看到最早第一次先行者出现，, Start Time: 3545470
Text: 是那个刺客信量二结束的时候，对，就是那块。对对对，特科幻那个对对对对对，特科幻就是全息影像什么的。对，然后那么我们这个 OK 刺客这群人，我们知道刺客他们有鹰眼。但这个当然我我觉得杰克史实我认为是他，因为他们嗑药了。但是但是根据这个设定来说，因为他们可能是人类跟先行者混合的混血人神杂交产生的一个后代。, Start Time: 3567030
Text: 对对对，所以他们有特别强能力，而且他们也也就是为什么就是说我们那个主角那个那个嗯戴戴斯门迈尔斯，他有这个就是他可以去啊去打开这样一些一些一些机关。为什么他们需要他去打开这样一些机关。对他有这个 deasmond NA 是吗？对，确实那伊甸碎片我们就讲回来，, Start Time: 3591530
Text: 伊甸碎片其实伊甸碎片有很多很多种不同的形式，他们也藏在我们历史的和传说中间各个角落。比如说苹果，苹果这一个很有意思。亚当夏娃，我们知道亚当夏娃，他们偷吃智慧果应该是苹果。那他在人类神传说中间就变成一个伊甸园的一个苹果。那我们还有这个特洛伊引发特洛伊战争海伦美女海伦那个金苹果也就是这样一个苹果引发了，, Start Time: 3611220
Text: 一直都是伊甸碎片。对，其实都是伊甸碎片，然后那个什么，而且还有其实苹果有好，现在已知的苹果资料中已知苹果好几个。第一个就是一号苹果呢，就是我记得我们在大革命中间嘛，我们那个路易十六不是有个密室是吗？他那对对他有有一个隔间，当时拿破仑为什么在那他拿亚诺和亚亚拿破仑碰到的那个对对对，, Start Time: 3638240
Text: 当当拿破仑仑在找一下东西，亚诺要销毁文件，他拿破仑在找东西，他在找什么呢？他找的苹果一点碎片，他找就是那块苹果。这就为什么他最后能征服大半块欧洲哦，是因为他掌控制了人们，对他掌握了苹果，他控制他的军队。然后第二第二个苹果呢，是从是就是阿阿我们二大爷叫阿泰尔手里拿的。, Start Time: 3660250
Text: 这个就是他死的时候，手里攥着这个苹果是二号，这二号苹果。后来呢这个这个苹果不知道为什么转到了伊英国女王伊丽莎白的手里。就是就是那个你二代他有一个花絮，你可以看到他中间有一些油画，就是这个他把那些名画的那个一些重要的部分全都改成苹果了。我记得是伊丽莎白，她当时登登王座那那个幅幅画就被他们 PS，, Start Time: 3681060
Text: 就是把那个那我之前说那个那个宝珠把他手里握着，那个有十几号宝珠给 p 成苹果了。对对，然后这个后来呢，在伊丽莎白手里，他又跑到甘地的手里，我们英印度的圣雄甘地他的手里。这个三号三号苹果呢，他当时他属于这个，他当时是到了共共济会的手里，共济会厉害了。共济会其实是一个非常牛逼的一个组织。, Start Time: 3705020
Text: 但是这个我们刺客信条这个世界线其实把这条线给弃了。嗯，他们原本想把共济会做成一个非常牛逼的组织，跟因为他本身跟圣剑骑士团有什么关系之类的。但是后来他们是觉得到底主题就是刺客跟圣殿骑士团在历史中间杀来杀去，你再加一个。第三者太复杂太复杂，所以他们就放弃了嘛。, Start Time: 3729160
Text: 然后这个反正后来这个罗斯福用了他和丘吉尔和斯大林一起伪造了二战。啊，在人我觉得就是说二战这记忆是完全是金苹果，他们用金苹果在之前的人的脑子中伪造出来的景象，二战从来没有发生过，但是他让全人类都相信相信这个发生过了。对，然后为什么呀？啊，为什么反正肯尼迪后来嗯这个肯尼迪后来呢这个这个就就是就是被啊肯那个苹果，, Start Time: 3748470
