Text: 追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏，也能长知识。欢迎收听机和网加九 pro 朋友。你再也不用担心，本节目安利的时候找不到那个游戏了。你也再也不用担心，因为主持人的英语不好而听不懂游戏名称了。希望新版官方网站终于上线，边听边看风光无限。三 w 点 g 杠 CORES 点 com 我们不见不散。, Start Time: 27690
Text: 四个字，那个地方就是那个城市市是诺诺，不是诺夫格瑞嘛，不是诺夫格瑞嘛，最大的最大的不是诺维格瑞吗？诺诺瑞在中间，他那个诺维格瑞是一个地图，然后就是有一个城市，然后那那部分那部分属于那个雷德里亚、瑞瑞丹尼亚对，瑞丹尼亚。对，然后当时我们看到那些士兵啊什么的，, Start Time: 2069510
Text: 他拿着那个盾牌上面有一个那个白色的鹰，白色的鹰，哎，那就是瑞丹尼亚。对对，那个我我插一句就是那个小说，因为那个作者后来设定的还是比较多。嗯，所以那个他每一个王国的每一个民民主的那个文章特别多。对，所以那个对那个如果像那个维维维卡那上面去看的话，那个是特别复杂的。, Start Time: 2094940
Text: 就是那个嗯就是他每一个那个文章，就是那个文章代表什么，那个文章代表什么，那个是特别多的，然后相详的。嗯，对，他有一个很详细的，就是因为我们还没有小说，还没有就是就是制作的那一部。他在最后的那个决战的时候，就是那个北方中国和那个南方的决战的时候，然后他那个特别细，, Start Time: 2120110
Text: 就是和林夫家的学生，然后他有很多很多的那个。你知道那个国外都是每个相当于每个联队有他连队的连连队旗那种感觉，嗯哦足球俱乐部那种。嗯，对对对对，他因为那个最后打的时候，他相当于那一次相当于北方中国的所有国家的军队都来了，都是军族。对，有这些伏尔泰斯特啊，这些人领头的就是所有的军队都来了。, Start Time: 2142610
Text: 然后南方呢也来了很多那个各种国家的这些军队，就是他那个渔夫加的帝国辖下的那个雇庸啊，那个哎附庸国家的那些军队，包括还有什么呢？还有那个那个精灵的那个那个松鼠党的那个松土党的那些军队，就是上那个战场那副土不在那个游戏第一卷的时候，他不是游戏第一部的时候，嗯，, Start Time: 2167160
Text: 就是遇到那个松鼠党的时候，已经就是被打的非常惨。嗯，就是因为在那个小说设计里面，在那个大战里面，就是嗯他支持那个战场上，他差一点应该是上一党是占哪边的，北方还是松土党，是那个渔夫加德那一啊，夫加加夫加德是帝国上答应他就是说如果说是呃成功了，就是条件。对，要以自由之境嘛，, Start Time: 2187960
Text: 说北方相当于还给他们就是一一一片，就是自己去干什么的。嗯，对，然后他就大力加入了，但是矮人好像是加入了，就是那个北方。对，就是那个那个松鼠党的那个精灵是加入了那个就是呃尼夫加德那边，但是最后嗯最后那个被打败了，所以死的很惨。但是那一部分里面因为还没有制作，, Start Time: 2211280
Text: 但是那一部分因为我看了就是那个里面对那个被他设定的特别多，到时那个个个个文章啊，或者说是那些编队，就是眼花缭乱，全是那个反正这个嗯对，关于这部分，他是叫那个布伦纳战役啊。嗯，完了他这个战役里面确实出现特别多的这个小分队，然后大家可以来集合完我们做这个专题页里面看一眼，, Start Time: 2234600
Text: 他这个所有的名字都有呈现。嗯，就是北方联军和南方部队的这个所有里面，包括所有的分支的小队名称全都有。嗯，对，然后我们也可以期待一下书小说后面的这个介绍。嗯嗯，然后刚才既然说到了松鼠党，嗯，那我们现在就正好来谈一谈这个这些组织。对，都是怎么回事吧。对对对对，, Start Time: 2258120
Text: 然后比如我觉得还是先从猎魔人开始说，因为这是最关键的。猎魔人这个组织对不同的学派这种对都是什么样的关系等等。嗯，猎魔人这个他其实也是跟那个天球交会有关的。就是那个那个天球交会世界融合了之后，就是产生了很多怪物。所以就是就是人类为了对付这些怪物，然后就就是特意有这么一群人，, Start Time: 2283350
Text: 然后对，就是有点类似于猎人嗯去专门猎杀这些怪物。嗯，当然这些怪物那个那肯定是就是都比人厉害多呀。所以就他们为了了后就是为了打怪的话，他们也得升级自己。然后他他们升级的时候，其实就是就主要是用那种草药试炼。嗯嗯，那个草药试炼其实也是巫师帮他们做的，就是那些草草药的配方啊，, Start Time: 2304850
Text: 包括他们那个那个试炼过程中也要施加一些魔法，这些主要都是就是最巫帮帮他们做的。所以可以理解为这些猎魔人其实最早其还是这些魔法师的产物。嗯，可以这么说，帮他他们完成了一个对过程。嗯，而且这个猎魔人他就是猎魔人，不是会会一些法印嘛。嗯，就是这些法印都属于那种最初级，, Start Time: 2329310
Text: 最低级的就是最基础的呃的那那些呃就是那些魔法，就是在霍他们施加这个魔法的时候，不用念咒，就是只用手势手势都可以做。就是霍格沃兹一年级是亲身会学会的那些小魔法。对，就忍术这些小魔法圣母的巫师根本就是不屑用的这些。嗯，对对，简单了那是很强的，就是一挥一手，就是什么都能干的。, Start Time: 2352850
Text: 就是嗯这个他个小说说面巫巫师比那个我们古比什么比那个 DND 里面的那个巫师要强不少，那个还要慢慢记他这个嗯随便一会一首就行。对，我们在游戏里可以看出来，他有他比如说释放那个雅克西法印的时候，你迷惑别人心智。他那个手就是做几个手指的动物，做几个手势，一划一划一个圈，, Start Time: 2376090
Text: 然后抓来就行。一、任何咒语不需要念，但但是就那个魔法师的话，那个你看那个开场 c 机，那个粉对狂念各种咒语什么的，就就他就是一些一些手势，然后但是他就不需要做什么手势，他就会念一些东西。但他他那个梅姿对，都是吧，都是都是念念咒，就不用做手势那种。对，他们主要是用上古语去那那些念那些咒语的，, Start Time: 2394800
Text: 但是猎魔人他们是就是猎魔人是不会使用。对，因为猎魔人使用的魔力其实也是很少的。对对，那们都说那个特色是变种他他们人类的一种变种变种。对对，这个是为什么说他们是变种人的？对，是他们喝下那个草药，草药之后就是他们变成什么样了。嗯，他们就是就草药试炼其实是一个很残酷的事情。, Start Time: 2417800
Text: 就就是说呃很多人就是猎魔人，其实他就是原来的时候，他是有很多学徒的。嗯，但是学徒能不能经过草药试炼变成猎魔人，这个是一个很大的关卡，嗯，很多人是是根本过不了这一关的。嗯，就是只有经过了草药试炼这这一关之后，然后他们的那那那个身体素质啊，嗯然后速度啊、反应啊才能够改变，, Start Time: 2441580
Text: 都能够能就是都能够得到大幅提升。那如果那些没有经过试炼的那些学员发生什么，他们就死了吗？基本上死掉了。嗯，所以如果不发生这种改变，你是没法打得过那个那些怪怪我，我不入地狱，谁入地狱？对，那个是，而且那个不是猎魔人，以前波兰拍过一个那个小的那个就是那个电视剧。, Start Time: 2463940
Text: 电视剧其实电视剧的第一集还是第二集，其实是是有拍那个草药系列的，就小说里面是没有没有写的那里面有一个人演的小杰洛特，就是一个比较可爱的一个小孩儿。然后然后讲他小时候在那个凯尔摩汉，怎么那个据我所知讲过，这一段经历的只有两个讲过，一个是那个电视剧拍的，还有一个是那个呃漫画那系的。, Start Time: 2488810
Text: 但是那个最最早那个 yphc d project，就是那一代游戏里面出的时候，出个那个小的手机游戏里面有一个小手机游戏，就是清草的事列，就是那个那个那个非常老的就是不是智能游，不是智能手机上的游戏。嗯，那那种很老的不知道手机上的游戏是做了很那那个个这个个机系列的 OK，, Start Time: 2512969
Text: 其他的小说里面是没有那个嗯，他只是回忆杰洛特知道就是说呃就是经历了很多，嗯，嗯，明白了嗯，那这个这几个学派之分又是怎么回事呢？学派之分就是没有，就是在小说的那个主体里面没有特别的说。嗯嗯，但是那个就是就是猎魔人，就就官官方还出过很很多漫画嘛，嗯就是六几的时候候出出了六本漫漫画，, Start Time: 2533150
Text: 其是猎盟人就是就就重点呃提到了这个猫派，就是猎魔人不是有有有那个那三个流派嘛，然后狼派猫派跟那个十九派嗯，这个猫派基本上就是就可以说是是其中狼派分裂出去的。嗯，而且这个猫派后来就是就是据杰洛特回忆说是这个猫派嗯就是就是猎魔人本来是是以杀怪物嗯为这个这个证词了嘛。, Start Time: 2560170
Text: 嗯嗯，但是猫派后来就变成这人派器，类似刺客联盟嗯，嗯，就是盟盟盟嗯是刺客信仰，很多是那种就是就是变成杀人的事儿了。而且就是因为他们杀人太多，然然后导致就是很多人对这个就是就是对这个猎魔人这这个职业产生了就是特别大的反感。因为本身的本身猎魔人这个就就是他们呃就是这种提升自己的方式，, Start Time: 2585830
Text: 已经把自己变成怪物了。就是很多人已经对他们就是就是就是用得着你你你顶的时候唉那呃用一下用不着的时候是用不着的时候都把他们当成温神。嗯，所以所以那个那个猫派分裂出出去之后，那个让这个猎魔人的那个名声变得的更好。好哦，我说呢第一座后来就发生的那个那个凯尔默汗大屠杀嘛，, Start Time: 2613800
Text: 就就是很多暴徒，然后在巫师的帮助之下顶着，然后冲到那个凯尔默汉里头啊，当时就是就是在在凯尔摩汗的所有的这个猎魔人加上学徒几乎都给杀干净了。嗯嗯，然后只剩下那个维兹米尔活下来了啊，维森，你尔是唯一的一个幸存者。维兹米尔就是那个我们杰罗特老啊、维瑟米尔啊，维瑟米尔。, Start Time: 2635680
Text: 对他就他就是我们那个第三座开始是 c 座里面就着他那个个老头。嗯，第一座就有第一座开始就是他对第一座开始就存回去的就是了啊，然后失忆了之。对对对对对，嗯嗯哦，原来是这样素，我一直特别好奇说为什么猎魔人在整个的那个世界社会当中对说过过街老鼠人人人喊打，然后狂鄙视你，, Start Time: 2657140
Text: 各种瞧不上你。对，但用你的时候，他们又又各种求你，但我就特别好奇，说猎魔人替能力这么强，嗯，然后这么厉害，他们难道不害怕吗？没有，我觉得这个问题很有意思。对，就你不觉得这个问题特别像特别像另外一款游戏，就是杀出成为人类革命嘛。嗯，你这那改造人你知道吗？不是有一个纯洁人类革命，, Start Time: 2681200
Text: 嗯，能力比他强一万倍，你可以帮助他们很多。但是他们就觉得就是不不上，他们们就心里不平衡衡是凭什么你比我强那么多，但是用的时候还是得养养仰仗，你就是依赖强者，但是又畏惧强者会反过来谋害你。对，这是一个人性的一部分，觉得你有意思。嗯，对他那个我我记得就是在那个小说后半部分，, Start Time: 2701580
Text: 就是现在没到，就有一个那个主要的一个反派，那个叫里奥那个就是专门杀这个一个一个很强的杀手，专门杀那个猎魔人，猎魔人他那个里面就出现了，就是他就收集了好几个那个猎魔人的挂的那个哦挂饰是吧？嗯，嗯，那个挂饰他就杀了。好好，那这个这个反派他自己是猎魔人吗？他受过训练吗？, Start Time: 2723330
Text: 他那不是没药，不是迪奥，不是，他就是联盟人，是是是一个非常强的一个人类哦，就是他他没有有药，但是他却可以干得过这些，就做过手手术和那个去角试态啊，一个很强的一个。后来他是跟那个叫谁，因为他一直在追那个希瑞嘛，嗯他是跟那个希瑞，希瑞，因为一直很害怕他，就是就是就是非常害怕他。, Start Time: 2747105
Text: 但是最后的决战的时候，应该是那个新锐，就是最后把自己的恐惧站起来。最后跟他单挑，就是单打把他给打死了啊，就是那个那个那个强阵区太剧透了，这个这小说剧透吗？对，个个个个锐锐，你看他呃说实话，我看到他在第那个游戏里面出现的时候，我都还有点惊讶的是因为那个小说一出来，, Start Time: 2772850
Text: 最前面的时候还是很天真很那个很萌的。就是这嗯就是你虽然很倔强，还还是很那个，但是游戏里面好像已经变成了那种就是很很世故的一种感觉。就是但但其实我们我们说我们说形象虽然这样，但但是就这新蒙所说好像还是个熊孩子性格上。然后刚才我们说到的这个猎魔人，其实我觉得这个猎魔人横向对比的话，, Start Time: 2797360
Text: 其实挺有意思。其实有点像冰冰火之歌里面的长城守卫，长城守卫是吧？对，然后这还不是特别像，但是特别像龙腾里的 gry wolden 呃， grey wolden 都要经过一次试炼，而且都会死。对，都有可能会死，对吧？而且都是要堕入魔道。对，然后都是让 grey walden 还好。, Start Time: 2821160
Text: 但是我觉得长城嗯就是黑乌鸦感觉也有有点让人瞧不上的感觉啊，是因为他们之前都是什么强奸犯啊。对对对，强盗啊，感觉你得送我起来了。对，嗯，人傻。如果和那个那个日本漫画对比的话，就是勒那个利姆人很像大剑大剑大剑。对，哎，我听说这个东半个漫画，但没有没有看过那个其实那个小呃那个游戏还原创了一些派的嘛，, Start Time: 2838560
Text: 就是那个像那个雷索，就是那个二代的那个他叫他蛇那个副者游戏里好像更多一点。游戏里面的书里面好像他是介介绍更多一些派，什么嗯蛇毒蛇学派、熊学派，还学派的。对，还有个熊派。对对对，但是雷索他们好像都是猫学派的。对，雷是是蛇，他是蛇派的，蛇派的，他是雷索多及的蛇蛇的。, Start Time: 2865050
Text: 嗯，对，但是游戏里也提到那个暗示的话，就是雷索应该雷索那个蛇派是在南方出现的，是在那个雷索的蛇蛇的，他们就是应该不是凯尔摩罕这一这一个就是派系。明白明白，卡尔摩汉应该就是狼狼的那个基地，现在更深。因为只有维瑟米尔一个人，就是相当于他传承的这一派更是只有那个其实他说了半天，, Start Time: 2888930
Text: 其实那个北方其实猎魔人挺可怜的。我估计北方整个猎魔人只有只有二十个，嗯，就是没有几个魔汉，整个里面花是大开张张。因为我觉得满大街满大街猎魔人，你杰洛特走在中间也觉得也不会有特别那种很特别的感觉。对觉们这个神神其实实挺好的。你想一一下哈，中国那个武侠了，中国那个武侠可能有好几万几十万到处游荡的，, Start Time: 2913110
Text: 就这个丐帮的人没几个人，就是这个猎魔人。小说里头出现过名字的狼狈，猎魔人好像只有五个人。哦，对，早太少了。嗯，对，那也没办法大屠杀之后的嗯，咱们小说说这个嗯游戏出现的时代或者游戏。你第一卷里面就是他那个新招聘一个，还马上就死了。就是就是刚刚就那几个老头招聘了一个，, Start Time: 2939280
Text: 然后第一卷去掉聘就就死了，所以他们嗯没有后继无人，没有太太惨太惨了。因为小说和这个游戏发生的年代，应该已经不是猎魔人最繁盛的那个时时期了。对，早就不是了，早就不是了，早就不知道里面说了的，早就然后那么后来我们在说其他的这个一些组织吧，比如松鼠党嗯，嗯，松鼠党主要就是那些精明组织的嘛。, Start Time: 2964260
Text: 嗯，但是松鼠党这个名字只是人类对他们的，你得得得称呼。因为他们就是喜欢在帽子上面挂一个松鼠的主人啊，可以叫他们松鼠党。嗯，但是这个是属于明显的蔑称啊，就是有点类似于狗腿子啊。对，是这种松鼠党，他们自称是他们用的是那个上古语嘛，那个意思就是突击队的意嗯意思。, Start Time: 2987090
Text: 所以他们把自己就是描述成那种就是就抗人类侵侵，然后后消人类类暴世界属于于灵这么一种种，嗯，就相当于那个原住民的那个就是人游游游游队、游游队。对对对对，那些什么就是其他的那些非人种族啊，像是什么矮人呐，嗯那个地精啊，或者是是就叫侏儒啊，甚至半身人呢嗯也有也有很多加入这这个松鼠党里。, Start Time: 3009675
Text: 那么还有没有其他的一些组织？比如说这个术士的兄弟会啊，就是那个什么什么法师评议会，是不是那个游戏里面哦，嗯最早的时候就是从小说开始的时候，他们成立了一个那个就是就师兄弟会。嗯，这巫师兄弟会会就类似于一个巫师的一个总体的。那么就就是几乎所有的巫师啊、女术士啊嗯就是是男成为为巫师嘛，, Start Time: 3035840
Text: 然后女性成为成女术术士，他们就是就是他们联合到一起，就是成立了那个巫巫师兄弟会。嗯，然后在这个在这个之上，就是尤其是在那个就是第二次尼布加德战争的，他们打赢的那个那个锁登山战役之后，然后然后然后由一个很强力的法师，他叫威哥福特兹。嗯，这个人也是后期就是小说后期的一个很重要的 boss，, Start Time: 3060700
Text: 嗯，然后由他就是召集了五个人，然后成立了。那这这个巫师会，巫师会其实就是有点类似于就是更高等的人。对，然后在在这个巫师会之外，有一个术士评议会也是五五个人。嗯，然后就是就是有点类似于就是两派相互制约嘛，这个就就是一派掌权，然后一派来来对他进行啊监督，在野党执政党是吗？, Start Time: 3085710
Text: 对对对，嗯，然后这个叶尼芙就属于这个数士评议会里啊里面的。然后后来是是在在小说剧情情剧情当中，就是呃就是就是尼布加德第二次想要侵略的时候，然后这个巫师内部也分裂了。因为这个这个巫师它也是分为就是就是一派是站在北方诸国这边，一派是是站在那个那个南方的这个尼布加德帝国这边。, Start Time: 3113915
Text: 嗯，然后两派也是在一个那个那个巫师岛上，嗯，打的不可变交乱七八糟的哦，打完了。对，死了很多人人。嗯嗯，然后基本上像这两个各个组织就已经分裂了，这分列了这个你说这个这个这个内部这个内号是不是叫什么仙尼德岛，什么镇仙尼德岛。对，然后他们打完了之后，然后就是分裂了之后，, Start Time: 3139740
Text: 就是很多呃就是大概是九个女术士，然后又又又结合到了一起，就是形成的那个那个女术士集会。对，包括这个呃就是克里斯，也是那个就是女术士集会里面。然后凯拉也是那个就是游戏里出现的那那那个凯拉梅梅，然然呃那个贝利巴艾哈特嗯，对，包括后来那那那那个希尔嗯对这些人总共是九个人人，, Start Time: 3161200
Text: 然后组成的这个女术士评议会，然后就是一直过渡到这个游戏剧情里面。嗯嗯嗯，对，好像是游戏二代的那个剧情，就是因为就是有一部分也是因为这个女术士评议会，然后他们想去就是也想利用了一个山头吧吧，是那个游戏。第二部是那个是不是那个贫困会想成立一个自己的国家，是嗯啊就是想那个就是想自己打造一个国家出来，, Start Time: 3184960
Text: 嗯，就是最后当然没成功，而且都非常惨嘛，就是那个非你把眼睛都被挖了，就是对对对对，双眼失明了，到这直接嗯我这里还有什么猪果呢？嗯，那那不是游戏，中间还有一个非常重要组织。我不记得小说中有没有出现，就是那个烈焰蔷薇骑士团嗯，小说大会题估计没有吧，这好像没有。, Start Time: 3210150
Text: 这是一个烈焰蔷薇骑士团，因为待会儿不是说要讲那个什么剧情，烈焰蔷薇骑士团好像是那个一这这个也是猜测啊，因为一卷里面它没有具体史 OK，好像是因为那个杰洛特救了一个小孩儿，那小孩会会空穿越越然。那那个那个小孩是那个就是那个强士团团长， ok 是那个小说那个游戏，, Start Time: 3234330
Text: 嗯，就是那个小说里面有那个跟烈焰蔷薇差不多的那种骑士团。嗯， k 是那个小说那个骑骑团团 o 是呃游戏里面，比如说那个大家都现在都能看到的那个人。小说第一卷就是那个小说，第一卷里面杰洛特曾经跟一个骑士团的就是对对对对对，那那个实实个个相当当有点烈焰强薇骑骑士的那个样子，, Start Time: 3254130
Text: 嗯，但是好像那个不叫烈焰骑骑骑士，烈焰蔷薇骑士团好像是小说里面 OK 啊，是那个游戏游戏说吧，游戏里面说说吧，烈焰游戏里面的嗯游戏里应该是有很多原创的。这个是猎小蔷薇骑士团什么蜥蜴帮之类的那些。对对，我蜥蜴，我蜥蜴帮。对那个对对对，那世界观这部分我们还有什么要补充的吗？, Start Time: 3276450
Text: 如果没有的话，可以让赵琳帮我们介绍介绍这个巫师一二代的剧情。对，简要串联一下。嗯，剧情我来介绍剧情。嗯， OK 赵林，主要是玩，他可以稍稍就是游什要去玩啊，没经已已经，我可以给你们军送三代巫师，你别剧套求你了。嗯，那个呃因为一代和二代，我先我就简单先讲一下，, Start Time: 3298880
Text: 然后咱们再交流啊。然后那个游戏的那个一代呃，因为是零七年出的啊，我呢是一代是玩通了的，但是一代呢嗯稍微有点久远啊，有一些小小的记忆可能还是会出一点问题。我就简单讲一下，一代呢是讲小说，最后不是小说的，最后的结局是那个杰洛特已经死了。就是相当于就是在被那个对非人种族的那个暴动里面，, Start Time: 3324690
Text: 他为了就是去自己和虐待那个矮人，他就已经被那个杀掉了。游戏当中也说过，然后那个叫谁？那个叶叶妮芙，就他的那个爱人，为了救他也就死了，也就是救他。但是然后最后那个希瑞就是他们的那个养女，对他们对希瑞就相当于父母一样。然后就是为了再救他们的，就把他们有点像那个你们可能看过那个亚瑟王那个传传亚亚王，, Start Time: 3352070
Text: 他马上就装上了一个船，然后就怎么样。他那个里面是希瑞把那个杰洛特和叶宁弗装上的那个船，然后他开着那个船划着船，然后跟所有的其他人告别嗯，就航向的阿瓦龙似的那个结局。对我说一个什么什么鲜花永远盛开的一个地方，一个找到一个就是一个世外桃源去了。对，然后杰洛特的叶灵甫呢果然在世外桃源里面醒来。, Start Time: 3379140
Text: 对，然后在那儿永远幸福的生活在一起。然个但是小说说里这的一个结局就是可以有逆境的一个结局。然后那个呃那个游戏里面呢，就是就说就是好相当于就应该是哈。因为游戏这第三部的最后的结果果并没有达到，所以这个我推测就是那个狂烈，就是又又来找那个杰洛特的麻烦。然后杰洛特为了救那个就那个那个叶灵符呢，, Start Time: 3402900
Text: 他把自己的灵魂给的那个狂烈，所以他是失忆了，然后他就又调回这个世界来了，就相当于又回到了这个这个北方诸国。然后第一卷一开始的时候，其实这个游戏的那个呃那个那个设计师呢，他还是挺那个的，他还是挺也也可能也可能叫人性化，也可能呢叫那个叫做那个狡猾嘛。他就让杰洛特就是因为失去灵魂就失忆了，, Start Time: 3430940
Text: 所以不知道其他以前的情况。嗯，所则的话，如果要从头把这个刚才那个小说所有的全部讲一遍，然后再开始游戏的话，那游戏根本进行不了。因为那个这剧情太复杂了，所以他就安排杰洛特失忆了。然后就是但是他虽然安排失忆了，但是他他仍然就是各地的那些那些呃风土人情的，他仍然是就是当做是就是那个很完整的这样来看的。, Start Time: 3456220
Text: 所以那个小说所有人玩第一卷的时候，包括每个国家的人玩第一卷的时候都会有很多呃，就是那个游戏的第一部的时候都会产生疑惑。嗯，就是不知道这些就是什么维基马啊，什么乱七八糟，他就在说什么，就是什么猎猎魔人哪巫师啊到底在讲什么。对对对，而且他没有教程，他那教程说没有啊，, Start Time: 3481220
Text: 也有非常简单，这战战教程对战斗教程就是一个战斗教程。其他的你看他后来到了二三特别三的时候，他就非常注意他所有过场的时候，他都会不停的给你回顾那个到底在哪。对对对对，我觉得他演示运算多了么？复杂的游戏，你都不知道自己在在在做什么，就很容易就是这种好那个游戏呢一出来他是失忆了，, Start Time: 3503810
Text: 失忆了，他被救回了那个凯尔魔汉，救了凯尔魔汉呢，然后就遇到那个一个火系异帮。其实你也不知道什么叫火系异帮，然后就进来抢那个灭魔人那个那个草药试炼需要的那个药水嗯，就出来抢抢那个东西，然后当然就抢走了，抢走了。不是我刚才说他们唯一招募的一个新的猎魔人也就死了吧。, Start Time: 3525720
Text: 所以他们还剩剩下那几个老的，然后他就跟那个那个特里斯，他们就下山去追查追查这个就是整个的事件，就是去追查这个就是肯定要抢回来噻。不然的话那个他们的猎魔人的秘密就相当于公注于众的。对，是以以那很很多年几百年前那些巫师帮他们调配的药物，这个黄焖鸡的配方就对对这个猎魔人这个东西就彻底没有，, Start Time: 3545370
Text: 就像中国的什么好面，他个易经经经偷偷被偷偷了。对，有阴真经什么的，这个就完全没有任何秘密的。然后然后就然后前面他其实非常多的任务，就是就是展现这种就是这个你做一个任务，其实每个个都有自自的立立场，就是他没有一个特别正义的一种选择。每一个那个选择都有可能你对这个有利，, Start Time: 3571840
Text: 那么对那个就有害，就看你怎么来选择。然后前面他的很多任务，比如说他怎么他主要就到了维基马城，然后怎么进那个维基马城，就经历了很多任务。那些任务其实跟他祖先其实任务就就是关系不是特别大，嗯，关系不是特别大，就是讲的怎么进去，包括那个火系一帮的那个那个他不是有一个那个科学家，, Start Time: 3596360
Text: 好像叫做阿扎尔，就是那个科学家。嗯，然后他也就是联盟人，好像是去聘请了一个那个呃，不是他找到一个私家侦探。但实实上上私私家侦已经经被那个人给杀了，然后他伪装的私家侦探跟他那个就是进行那个那个那个那个交火那个那个游戏里面，你你根据你发现的线索，但实际上是有很多多重的那个线索的。, Start Time: 3617590
Text: 如果你线索找的多，你很容易就把他揭穿了。你线索找的少，那么你就揭穿不了。对那个任务印象特别深刻，真的是就是就是那个展开整个展开，你找那些就是一点点的线索，帮你推测出一些东西。我记得那个任务，当时我真的回味出很长时间。对对对对，是这样。然后他总之来说，他就反正就就进了维基马，, Start Time: 3643090
Text: 进了维基马，进了维基马之后呢，然后他后来又就他在外，他的有一个人物是一个小孩儿，他在外面救的一个人物就是那个但是那个人物呢他会被很多那个预言，就是念的那个里面叫做什么白霜的那个预言。就是说呃好像以后世界要被白霜给什么什么将领，就叫伊瑟琳娜的预言啊。嗯，说白了就是对对，, Start Time: 3667140
Text: 但是对嗯，对，但是那个预言呢，这这我又要稍微剧透一下，因为这个也是我我我就是看到那个呃就是别人打穿过猎魔三哈，因为我没有打穿，我再一次是没有打打穿，好像那个猎魔三的结局里面，就是他是让那个希瑞独自去挑战那个白双的预言。最后是把这个预言彻底给破除了。嗯，就是个个猎人三的局里面，, Start Time: 3690500
Text: 就是大决战的时候是把破折相当于把小说里面，就是一直就是留着，就是小说里面一直都笼罩在这个预言里面。小说其实没有管这个预到到底会怎么样，是最后那个游戏里面好像是最后给战胜了。嗯，但是这个因为我我没有有打有有打到，那所以我只是就是呃看到别人就是好像说的，就是最后是把它结束了。, Start Time: 3714450
Text: 嗯，然然后那个小孩呢他非常那个预言，然后他的魔力非常强，然后猎魔人呢就就给了他一个那个大决战的那个一个项链，给了他就是帮他镇压这个魔力。反正这个小孩呢是里面挺重要的人啊，然后他在那个维基马城里面呢，就遇到那个亚达，就是以前那个就是吸血猎人第一个故事。对，呃，, Start Time: 3735190
Text: 吸血妖鸟。对那个故事。然后那个雅达呢，就是跟他那个父亲之间，就是好像还是有那个呃不太好，还是轻轻的龌龊，而且发现那个雅达呃勾结的那个那个国系那个帮就是勾结了，就是那个偷那个偷那个那个那个那个那个药水的那个帮帮。然后猎魔人当然又是经历了各种打，然后又又包括又再一次去把那个雅达的那个又重新又给他镇压了一次，, Start Time: 3755580
Text: 就是那个吸血妖鸟，又给他又变成了吸血妖鸟。嗯，他又打了一次，甚至发现那个那个阴谋，还设计那个邻国拉多韦德的那个瑞达利亚的那个也参加了这个阴谋。就是他有很多宠物。当然这个游戏里面有很多种选择，你可以就是放过这个杀不杀他，放过这个杀不杀他。好，但是最后呢就出现的就是这个猎人蔷薇骑士团。, Start Time: 3783980
Text: 猎焰蔷薇骑士团呢就是要求就是一个非常繁，就是非常很不足。一个一个一个一个团体，就是要把所有的推到这个松鼠党上面，要把松鼠党呢全部给镇压给那个。然后后猎人人在侦查这个的时候，他最后就最终发现，其实所有的这些事情就是拍摄所有这些所有事情都是那个猎人。蔷薇骑士团的团长就是一个一个一个团长啊，, Start Time: 3806810
Text: 指使这些人去干的，包括那些那些火火系一帮啊，就是怎么去偷那个东西来。对，然后他们想想达到一个什么目的呢？就是把那个药水全部拿到研究了之后呢，嗯制造出大量的像猎某人一样的，就是变种战士。就是然后把那个就是相当于非人种的，就全部给干在鲨鱼啊，赶尽杀绝。建立一个很纯净的一个国家，, Start Time: 3833610
Text: 就相当于是一个很呃纯净唉一个超纵族的一个国家。嗯，然后最后呢，猎魔人把那个就是那个在那个游戏要结束的时候，那个杰洛特把那个团长给杀掉了。然后呢，他还有一个选择，就是那个狂虐来找他，就是要他把那个那个那个团长给他，就相当于灵魂之个，他愿不愿意给他，这个也是一个选择，, Start Time: 3857470
Text: 但是这个不是游戏最核心的。嗯，然后但是他最后有一个他也没有给你讲，然后又有一点那个呃有有很多应该剧情猜测应该是这样的。就是那个他以前救的那个小孩呢，有那个时空穿越的能力，就是他最先破了华尔魔汗之后救的那个小孩时时空穿越能力，然后又有很强的魔法就会被成预言。, Start Time: 3880840
Text: 那个人面其实就是那个团长，嗯，因为他遇到精灵来打他他就用那个时空穿越能力穿越到了以前。嗯，然后他重新长大了，成为这个团长。因为他那个游戏里面，他不仅带着就是那个团长被杰尔特杀死，二者杰洛特以前送的送给那个小孩的那个那个项链，而且他还有那个嗯大量的那个就是那个对话那几个就是觉得他跟捷洛特很熟悉，, Start Time: 3901080
Text: 就不是那种。因为他跟那个杰洛特在游戏里面跟他的团战根本就没咋这么面。但是对捷洛特的就是细节非常熟悉，嗯，所以就觉得是那个有可能是这样。然后那个猎盟那个游戏做第一代，这就是一代的大概的一个等概。他做第一代的时候，因为他因为第一代已经把他那个 CD project 的那个公司的那个钱基本上都耗光了，, Start Time: 3926600
Text: 就是钱都基本上耗光了。就是他他并没有做第一代的时候，当旦想做耗光，他大家都想做，但是并不能确定我能做二三代。你看一代副标题，如果是他是想做那个二三代的话，一般来说你看游戏都有一个特点，他是想扩展做二三代的话，他第一代的时候他都会有副标题。就是他他就代表我这只是一部分，, Start Time: 3950580
