Text: 哎哦哎哎，最新鲜热辣的游戏资讯，你不在会儿等啥呀？最猥琐思密的玩家先生出来给我去打游戏了。难上啊，欢迎收听史上最专业的游戏广播电台，家里有别的买去。 oh no， i will like this my chetty。大家新年快乐，我是主持人西王。大家好，, Start Time: 1390
Text: 我到车内的视角吧，车内视角那个雨刷器刮那个时候我操它那个它那个雨刷器就是开车的人都知道。如果你就车开的特别快的时候，你那雨刷器在这边刷一下之后再回来，不是会带一片那个水过来吗？不是叫涟漪。对，涟漪水流，我完了那个风一吹，那个联移就会刷一下，都往左边飘，自动洗车，, Start Time: 1924960
Text: 自动刹车器。那来到就吹风那样后，他做那个做的巨真，就那个水水纹那个效果，而且根据风速的不同，它那个吹的那个速度还不一样。对我靠，风细节了，简直就冲这一点点啊。现在给 DC 平反一下，加一份对游戏本身没什么意思，但是就是这画册。但是这个这个就说这细节做确实是棒棒之之后要要更的。, Start Time: 1946560
Text: 对，就是就是说他这游戏出的时候可能还一么就是半成品的半成品。但如果说他经过多次更新之后，能变成一个特别好的戏。比如说加入回放功能，对对对之类的，我觉得他可能就会完整的，他慢慢补充嘛。现在不是有照片功能。对对，现在也有拍照了，然后也有天其实一直直应该说最最好的定位就是说没有这游戏，, Start Time: 1970210
Text: 就是出的不是时候要么首发那会儿出，要么就是在补全完了之后再再出。那中间那种出确实就是确实是嗯对没，就是天天不时地不利，对，本质还是个好游戏。是，但是看吧非常好，非常好，期待日后更新嘛，特别看吧，世界上总会发光了，那咱们赶紧聊一下羊年的故事吗？你还没说最近玩什么游戏，, Start Time: 1989450
Text: 最对对，就是那三 DS 的那个 e shop 的忍魂，那个可以说算是忍龙的精神续作了，但是是可要更更好。它它里面就那战国武将，什么全都是用的小动物扮演的，而且最逗是他的那个都是男性名了，但全是女性小动物扮演。它里面你像它能够使那个可以使那武武刀刀，你也可以使范刚的，, Start Time: 2010750
Text: 可以使那个各种是三 d 的嘛，不是三 d 二 d 的，可以使它里面可以开三 d 形效果，然后能远处程飞镖进去，就就那个连砍什么的，还有类似一闪的那个，还有人反对弹，反什么也有，它里面挺鼓励你进行那种联机 combo 的。它里关时候它都给你三个那个任务 title，, Start Time: 2034100
Text: 你把这完成以后，它会给你等价奖励你升级些经验值或者是新的忍术。你就冲个你就冲这些新的忍术的话，你也会反复挑战这个动作做的挺棒的，挺棒的。而且它三个挑战给你三个目标玩法不一样，比如有实现通关，让你玩一，它就是跟跑酷一样，还有放刚落的。对我刚才说了感受啊，刚才我看了还能玩的游戏之后，, Start Time: 2053840
Text: 你第一反应就是把想卖游击套路来后，马上买一个嗯，就没带这游戏叫什么来着？叫忍魂后头是什么？来后特长真田啊，长真田姓孙的对，真田姓孙，搜忍魂的行，对什么什么兽传，然后那个游戏卖的也挺便宜，他一二年游戏它才卖五百日元，相当于一个 v 比 VC 还便宜，比 VC 便宜。, Start Time: 2074540
Text: 完之前我在你机器上玩了一个特好玩，那个叫什么呀？就那一闪那个你是啊你玩那个叫什么战国，什么译 e 艺文，你之前是不是说过节目里 v 电视吧？啊，对，英式对，他说英英方先玩英式，英式那个就纯纯练一闪的游戏。对，就是樱花的樱，然后侍奉的侍那个那特好，那是老的 e shop 游戏。, Start Time: 2093850
Text: 对，玩到后来真挺难的。那个他狂练反应，我觉得狂恋反应，而且敌人武器不一样。敌人后来也有假动作，或者他使那长矛扫你时对你你移动你就不能是 y 轴移动，不是就不能是那个 XX 轴移向向向向退，向后退退就纵深 z 轴移动了。对，那那直直接啊直接进进入英式啊，大家一定要下一个买一个啊支持 e shop 小游戏，, Start Time: 2115160
Text: 嗯，专题讨论经我不无法，我操，太牛逼了。风霜雪雨刮几，杨哥别哭，站直了都哭不难知心不改改了吗？杨哥，哎呦，听那歌真是心里头有有有泪水了。对对对，这又又准备开始走心了。行，没事，热血煮酒，欢归你方这歌就是献给杨哥的。对，就是少年壮志未酬嘛。对我而且还有金色盾牌，, Start Time: 2137060
Text: 这其实就是杨哥的一生的缩影啊。杨哥主题，我说大哥一生的缩影，半生半生缩影啊。杨哥，听了有没有感触？嗯，挺有感觉，因为我觉得你这一年变化挺大，二零一五年又是一挑战。我觉得今天你可以给大家分享分享。对我觉得其实我操这么一说的话，突然就是感觉有点脑子就有点有点那个有点懵了，, Start Time: 2208210
Text: 有点懵了一下你别脑淤血啊，反正就就早老早找老郑。现在不是比较厉害，因为杨哥听完一哥的走心的，其实压那个没怎么走心，因为赖风差太厉害了。嗯，对，那就是再从不来嘛。对杨说说自己也聊心个心，跟大家聊聊心里话。对，从从小说起，游戏人生的故程嘛，其实说从咱这歌词不说少年壮志嘛，, Start Time: 2230380
Text: 咱就说从你少年时代，嗯，对，其实少年时代说你看像那个谁安藤和这个暴走，和赵邦这岁数，其实应该都是差差不太多啊。其实咱们从小都是在这个呃传统家庭教育的成长起业的孩子，尤其是赵赵邦可能也是权贵。这个什么别闹，赵牙，那是赵的，真个是反正小时候怎么说呢？我觉得就是就这么说吧，, Start Time: 2253380
Text: 反正不管是怎么着的，从小其实就一个梦想，因为咱们家那会儿都玩游戏，热爱游戏嘛，同一个梦想，从从小一个梦想，就是想有俩梦想。当时我妈那会儿跟我说，就是从小就有就想有俩梦想，就是就想有两个梦想，就是最早早一梦想想当那什么吗？想当那个售票员去吗？啊，就露白露白笑的对，, Start Time: 2285590
Text: 为什么呀？觉得那会候觉得售票员特就特棒，你知道吗？不知道为什么就就觉得特好，就天天坐那儿特人服服务，收钱就收收钢泵，就是猎为了玩家。对对，那些一些为了乘乘乘客，其实你一些为乘乘客。哥哥，你想想想，你那钱全是是细舒舒加家广广告说我是那那会儿不懂，那会儿全是钢蹦。, Start Time: 2308970
Text: 你还记得那五分钱，五千五分钱做做的加那个那个包里。对，那那那那包特漂亮，你说现在漂亮特特别漂亮，那会就是使旧的。我们家有一个有吗？有那那包太漂亮，咱们那个百世集着急，还拿爱收钱用啊。然后说那个另外一梦想就是从小就是不是老去老去那个游戏店嘛，就是想想开游戏店。, Start Time: 2326870
Text: 其实这个梦想就是这你什么时候有的梦想啊，这应该大概是我在昨天买的收中的时候，初中有时候那个有，不是你为什么有这梦想？你初中的时候是干，因为因为初中那会儿我去我我我初中在东东城区念的嘛，在东东城区念的的，在龙福寺那块，就是交道道那块块。嗯，交道口再问难一点儿，, Start Time: 2346510
Text: 离那个鼓楼特别近，就老老去鼓楼那玩的，你知道吗？所以所以对鼓楼那种传统的老的这种游戏的，就是这种风格这种东西，你这个特别有感情，你上身体过，你上初中是哪年记得吗？那九九一年怎么有啊啊，说九一年毛毛毛没在，我在在在在一在在一了了一一。有有有说毛毛在在堡里，怎那候我会会爬爬你毛毛毛毛毛会儿一次我不会爬，, Start Time: 2366700
Text: 我说我看看看着你长会的知对，然后那会儿就是不是那时候鼓楼什么样，我也想知道知道那哥哥你那会候你没过过，那那时候不边有没有那么多饭馆馆在游戏店的位置，不是一年游戏店。那会儿那会儿主要几九一年，那会好像没有一年鼓楼，怎么有啊？有说有有有有有怎怎么有有有有有有什么有没有有人生的发光的地儿，, Start Time: 2394350
Text: 他都记得呢？我说是九一年，我是上上上初中嘛，嗯然后你不一定就九一年去的，就是在中学期间那会儿那会儿去的那那时候什么样？那鼓楼那会儿，我记印象里的，他说主要是集中在在那个就是地安门到钟楼那块块，应该那块叫地安门大街吧。对，地，那那叫叫安门大街，然后东东边西边叫多那个叫鼓楼东大街，, Start Time: 2417990
Text: 鼓楼西大街。那行，那会主主要集中在那个那个就刚才说那叫地安门大街，我刚刚是说叫地安门，我天还还行，操操金鱼的集只有七分钟，我操记有几几几秒钟，然后才是说那个衣服我操。然后有人叫鱼哥，他他主要集中在那个鼓楼，那叫旧鼓楼大旧楼楼街街上，是吧？就是那条地那那条南北的街上，, Start Time: 2437500
Text: 嗯，集中在那个东侧东侧路那块。嗯，因为那时候我去的最多，我不知道方便不方便说这个名称啊，反正是说吧，那会儿我最早最爱去的就是那个那会儿有一叫那个知乐城堡。对，是是王王国，就是马凯餐厅厅。对对对对对对，然后然后还在卡姆勒屋嘛，那会儿我我我是说话，我就是从中原那会儿，, Start Time: 2463650
Text: 我就就就去那边儿。对，因为那会儿还就是说为什么我特别城堡还在吗？就是王国没有没有没有有卡姆鲁乌，还没没有卡卡姆勒屋挪挪挪那个西街街，对吧？西西那那边。对，然后从小我就是也看着那大姐，就看大姐长大的大大姐是看兰姐肖烂，嗯嗯，是肖烂，然后那个什么，然后怎么说呢？, Start Time: 2483850
Text: 就是其实就是对于鼓楼那那种就是这种售卖游戏，售卖游戏这种传统的特售卖游戏情怀外卖卖卖吗？反正是挺挺怀念的，从小就是是是那会候啊，就开始老和同学一一块去。关键那会儿我是属于早上起，相当于那个就是怎么说呢？离家特远，我们家在西城，然后我那会儿转学生到东城，白天都没事，, Start Time: 2505630
Text: 上学白天都没事儿，我们就就鼓楼了，你知道吗？然后倒不反正就就是老去老去，然后就是从小那么着，那那时候是什么游戏机，你说还有 MBMDMD，为什么？那为什么那会候老去啊，去玩去吧，那会儿换卡哦，你说那会儿不实行，没没钱老买新的什么的，然后就就换卡嘛，就去那儿那太照照物，, Start Time: 2528940
Text: 然后得添点手续费什么的，那那补的差价价样吗？好像还有按兆数那么着补，跟那游戏不一样，不是你知道我的定情呢。我操这你问我，那你你那那儿太太太太太稀了，太太难用了，真的。但我记得我记得那会儿他有一个他有一个那个制度是是公式什么东西的，反正他是按那兆数的吧。加比如说那个八八 m 八八兆是是加块块十六兆加十六。, Start Time: 2551900
Text: 反反正这我我记记不清，反正正肯定不是胡要价。它就是它有一个标准，它有一个标准，比如说什么卡换换什么卡，当然肯定不会亏，大家都都都好，嗯，而且加点钱就这么个意思。所以说从那会儿啊，就是就是产生就是以后想长大的梦想了。对我想开，其实咱们大家都是都有这个梦想。我觉得其实那个梦想阶段都应该在那个青少年那种叛逆期萌芽萌芽是吧？, Start Time: 2577620
Text: 但是不一样，我就没有开游戏店的梦想。那你你你是梦想，我就想做游戏，做游戏的梦想。但是今天你以你为主，你接着说，反正咱一块儿说没，你说你不是以我为主，今实主要羊年对羊年嘛。因为因为做游戏这块，他可能是做游戏，可能是不是涉及到什么就是记忆力，就我就想的是什么呀？, Start Time: 2603270
Text: 嗯，我想的比较简单，我想的就是你想你开一个店吧，你店里全是盘吧，全是机器是吧？然后全是相相关的东西，你每天开门的时候都看看他们，你就觉有特高兴，知道吗？就就是我见着那个是我不是去去那个呼市，然后就是本来找个哥们儿玩，完完了他带我去一就是游戏店，一层是全是咖啡厅，, Start Time: 2627760
Text: 特别洋气那种。一进门一墙手办全是游戏，但是也有也有动漫的啊，特别好呼和浩特是吧？对对对，忽视完了楼上就包间那种就游戏机玩玩就哦包小时玩的那种特特反正挺好的。嗯，而且这这是一个吧，就每天看着自个儿特别心爱喜欢的东西。第二个我也是第二个感觉，就是想开游戏电视什么呀？, Start Time: 2652680
Text: 是以前我受一个阶级厅那个老板的影响。那会儿我上上小学的时候，我姥姥家门口有有一个阶级厅，嗯，都是那种特弱的那个街机，你知道吗？就是什么双截龙什么最后人道就就就就这种的。他说这弱不是假喜欢那些谁，咱们家拿，最后忍道他超人道，不是我，我只知道了。杨杨杨杨娘娘他杨杨娘娘娘要说不说，, Start Time: 2676900
Text: 也不外说你哼哼，最后忍道那歌就噔噔噔得了噔噔噔噔噔噔噔等，就就就就那算呗，就就这可以可以。哎那个哎，还记着呢，什我我了了，我操操手这这定情。哎呦，我操，看来我的音乐还是没有对在这这方面有天赋。哎，那那那能说说说说说说弱是，然后我只是玩什么呀？就是说那个主机不是特别豪华，, Start Time: 2702630
Text: 跟现在那种大矿体街机什么那种比起也没有那么豪华，都是那种都是那种小个的小个的机机。那个老头那个老板不是老板，老太太的变老头了，我是谁说了我我可没说老太太太头，然后对我们特别好。后来那会儿还就去那种玩游戏的嘛，然后有时候不是那种让我们也玩，然后那会儿就带我们玩。, Start Time: 2729190
Text: 然后然后有时候有些时候还带我们去去那个我老家那会儿住西单嘛，然后就跟西单愣霸王他们家差差不多劲，你知道吗？那一兵他们家，然后老头还带我们去那会牺牲的那去去一兵他们家了。是是那在算那那儿，前面那天一口吃小吃，天津居去头，我第一次去天时居吃包子炒干，就是那种那种的老家，, Start Time: 2750110
Text: 那会儿带带我一块儿去的，觉得特别好。你知道那会儿啊，就是说一家人反正就是那种让我对街机厅和那个游戏，就是游戏店，就是一直都觉得这是一个就不光是金钱吧。对对，不光是，但是有一种情感的羁绊，是不是觉得还有那种就于说场上卖有就是那种就是那种温情。对我我说我接着照相这说啊，, Start Time: 2772110
Text: 这西西蒙说就是说确才说这么多，就是以前的事情。就是说因为游前的这种游戏店的，我也不是说现在没有啊，就是说以前的更加的有不是那种金钱和货物冷冰冰交换的，光有金钱的这这这种名东对它中间是更多的有有一个情字在里面没是我觉得是因为游戏是一种是一种文化，就不说第九艺术或或者怎么着，, Start Time: 2795490
Text: 它是一种文化，它不是市场上卖肉卖鱼什么，就是你卖鱼的，你也不可能，就是你也问问鱼怎怎么样的，对吧？对，鱼鱼鲜不新鲜鲜什么么？这那个的所是我觉得更多的应该是有有有说买论论一个还是卖家，这这是一个一个一个对，就是一个双方的东西。另外说一个更多是更多的应该是玩家和玩家之间的这种尊重和和交流。, Start Time: 2820090
Text: 在做一个游戏电上来讲，是作为什么平台来讲，都应该是重视这些东西。所以我就是到现在为止，我就想想去慢慢的哎，所以我这以前小时候的梦想去根据实现，根据现在这种实际情况的变化，去不断的去完善它，或者去怎么去与与俱进。对对对，与俱俱进。所以我觉得应该可以送给杨哥一首歌，, Start Time: 2841940
Text: 叫年轻的朋友来相会。对，因为基本上来杨哥店里的这些朋友们，你想想，所所谓小将们有好多都是学生，嗯，学生英雄光荣属于谁的祖国？多多朝海回首往事，心中各有愧啊。亲爱的朋友们，我再举一杯英雄，他小阳女光荣树八十年代的新衣辈啊起啊们只怕你英雄汉小羊嘞龙树一八十年代的喜悲的所有，, Start Time: 2863080
Text: 是吧？这歌太棒了，太硬性了太棒了了。不是我觉得你可以再聊聊你的这个游戏人生。刚才咱们说了这个小学呃，初中的时候你老去，后来呢后来变成了警魂了嘛，后来就变变警魂了。说说实话，那会儿就等于那会儿物质还是比较匮乏，对，比较匮乏了。那会儿掌机里头能玩的就是基本上就是 GB 嗯，, Start Time: 2912485
Text: 就是 GB。然后那会儿上上一期，我记有期输了，我都不匮乏感觉。嗯嗯，我的哥嘛 g 币，关键是没有人没有人玩，没有人玩，没人买得起是是吧？这个你也没有了，我也没，后来我借了借了一个，不是吗？我偷钱买啊，那时候我借了一个，你偷钱买，我操，偷钱买，我操，我操，给我妈妈了了，, Start Time: 2941070
Text: 我狂求是吗？我不是以前说过，我那 MD 就是偷钱买的吗？我操小偷绝交吧，不是家里的期盼，对偷家里学校那更可怕，家贼难防。对对，不偷偷钱，以不不叫叫偷，那那叫哎哎，阳哥，你说一公道话，用那个用一个游戏的名来形容 ID 这种行为叫什么睡狗？哎，为什么叫睡狗？因为就是嗯判徒，, Start Time: 2961850
Text: 对对，坐底坐底。对对，都都是偷了。对对对，安底都是极了，我操睡狗睡狗嗯就是睡狗。哎，说到哪了？说到后来惊魂了，嗯，操说你说说一溃乏了，我操，对对对，说说说那一块了，然后后迷信，然然后就是大家其实都没有，那会儿一一层楼大概住一百人嘛。你说住那学校嘛，就都都住校嘛，, Start Time: 2985450
Text: 住校大概一百人嘛，是不是军事化管理？那对对对，全是他妈宿舍有有连他妈电扇都没有那种。嗯，我操，哎，你那那不是要求特别严格，然后每天早上起来特早起来紧急集合，然后跑步还唱一一二三四，相跳高有点错槽，真的，莫斯，你那的，然后琥珀是合合，那他妈是美金，那你那上面上上面你还要什么跨历，, Start Time: 3011570
Text: 那怎么回事？跨历就是军训嘛，咱们都军训嘛都有，对，是吧？夸利，对，一一生收下，然后我老是到对那什么哎，以前我们那个教官就是老真样，对不到。对，我们老爹儿叫我呢，我操他都放不下。对，主要那个那个有带口音音的嘴嘴观，嘴观全是那个胶东人。对，全是那个当兵的，然后武警啊一般都是都都有口音嘛。, Start Time: 3033480
Text: 所以一般说关键我们同有好多同学还学呢，那会儿觉得特美呀，哎呀，摇啊摇摇啊，摇摇下里哦摇，但是发着这种口号还是得有点口音，说了才才才有才有感觉。哎，杨哥，你说一那个发展体育运动，增强人民体质。说一个大哥，我觉得啊就是我这早老证就是被你铲了娱乐文化了，真的又往说哪你走，, Start Time: 3062990
Text: 老想着反击我们。这哥，你说习杨哥杨哥，你说十八二十年就是坏人，对我对我们都害怕，不是刚刚别就说哪儿了，然后今天去，我操，别别别吵吧。宿舍里只有一台知 b 不是一层楼，一层楼就是两层楼，基本上就就一个 GB。所以说实话那会儿生活还是一层楼。文化是挺挺匮乏的，, Start Time: 3087550
Text: 主要是学习专业知识什么这这一块事情还有加强体育锻炼，练每天就是跑步，然后训练什么之类的。然后就是上班之后呢，然后就是上班之后，上班之后买了第一台买了第一台 PIPS 二，有时间玩吗？有时间玩啊，那那下班就就就天天玩，而且那会儿说实话啊，那个 PS 二那会儿我没买买正版，, Start Time: 3106330
Text: 买买的少，那会儿全都是玩那个飞飞盘什么之类的，嗯，就是老的 PS 二什么之类的。然后其实其实最后玩的最疯的时候应该是从说好，我玩最疯的时候还是三六零时代。玩的是最疯的时候，之前玩的比较多，但那个三六零，所以合阳三六零嘛。对，就是就是然然后 PS 三那会玩的的，, Start Time: 3130590
Text: 嗯，但是独占大作全全都玩了，反正然后就继续。其实哎我带到游戏里头，游戏这个世界里头，就是的人呢其实还是熊在这一块里头。因为那会儿和熊认从在买三六零之后和熊认识的，其实也是那会儿就一块大家一块交流认识的。所以我一直就提倡那个交流的事情，能够让你认识很多好的朋友，, Start Time: 3153500
Text: 就是还是得大家走到一块儿走到一起聊聊，走到一起聊。不光是游戏，因为好多认识好多朋友之后呢，就是通过游戏认识之后，他好多涉及到生活，涉及到很多人生的东西，大家可以在一起交流。所以我我想想一直交说，因为现在咱们不管是机合也好，还是就是一块儿开店也好，就是这么一个平台也好。, Start Time: 3176140
Text: 我是这么想的，就是说这钥匙匙我我觉得应该是纽带一个纽带，嗯，是一个纽带。然后作为我们自己也是这么想的。我们呢说什么？我操有没有他说你的情感的期待，期待期带也可以期待很重要。输养呢？所以我我觉得是这样的，不管不管是谁弄这个平台也好，就是说我们会努力的做成为一个懂你的人，, Start Time: 3196060
Text: 就成为满云军。对，成为成为一个懂你的人。但是呢如果我的努力做不到，我做不到，做做不到，成为一个懂你的人话。那那么相信这个平台里，这个团体里头一定总有总有一个会适合你，懂你的人是这样，对吧？我也是嗯，对，所以我特别感谢熊，你也要不然咱也不认识咱俩。对对对对对，, Start Time: 3220050
Text: 是是是咱俩不认识，跟大家也都不认识，就都不认识了。对，所以特别感谢熊，对，这也是蝴蝶蝶相声弧顶儿弧蝴顶效应。我点着是吧？我要不认识赵夏，我就不认识毛毛，那你就这么顺，杨杨哥怎么样？杨杨杨哥杨哥杨哥，你这人一上岁数，你你这就续点，实意说白了你要不认照相，你就六亲不认了，, Start Time: 3242220
Text: 这意思。但是情感要比那个玩儿更重要，是吧？我觉得最起码在这个玩的平台上，我觉得大家应该更延续一下情感的这种交流。因为他面对面交流跟你隔着屏幕，他感觉肯定不一样，现在面对面机会特别少。但是从那个进入十一月以后，基基上大家每周应该有自打我回来。对，然妈回来以后，, Start Time: 3266215
Text: 这些我那个呃西蒙，我我给你讲一个例子啊，这些大大家都知道，就是一就是在我那个群里头有一个朋友，他是设计医院的，那个设计院的。不说了。然后杨哥整天杨哥就是跟我说就聊天，杨常常杨哥就哎然后然后呢，我知道他是设计院呢，其实有有一天呢，因为我喜欢跟跟人聊天嘛，然后就是跟人为什么情况住哪儿，, Start Time: 3289760
Text: 什后在哪工作啊，什么委会？因为黑羊的居委会，然后另外有有一天呢，另外一个人我我跟他聊，我说你在哪儿工作啊，什么住哪啊？他说我在设计院工作，我说哎，我说你在哪个设计院工作？因为我立刻就想起，那小伙子也在设计院，他说我就在那那那设计院。我说嚯，我说你那那那个说到认识认识，, Start Time: 3311000
Text: 我说那个有一哥们，你认识吗？也在那设计院说不认识了，就因为那你们俩可以认识认识，哎，结结果他们俩就认识了。就因为就你你块聊游戏啊，一块儿打游戏什什么之类的。因为因为咱我说实话，现在有有一种情况是什么呀？咱们都面临这种问题，感觉感人都要玩主机，人其实是挺挺孤独的。, Start Time: 3331630
Text: 其实哎你说到说到这个，说到这个，就我现在有说过自个感受啊，其实我觉得其实现在做一些事情什么的，不管是做你你你那那块做游戏文文化好好什么么也好，括我去弄弄一些什么实体什么也好，其实都是都是挺难挺挺辛苦的事情。但是不辛苦不是你你你太你太那什么了。其实实大家都看见对西蒙西蒙西蒙疫模附近最近都病历病历一周了，, Start Time: 3352310
Text: 还坚持工作，都被他妈脸都瘦了一圈了，我操巨瘦绝家。大家上没看着看着更更那心疼疼他妈都待会儿发完照片上去吧。嗯，然后然后磨皮皮皮，哎，我白自文也差了，我操其么这杨哥你快回来。哎呦，得了，我我想想想，杨自再说吧，跟白自文，白自文也差，想不起起实。其实而且你像杨哥为什么就是现在他老早老了，, Start Time: 3377240
Text: 因为他有好多事，你像他他说话就来年就三十六分。杨哥，他不光有这帮得呵护，这帮喜喜游游戏小将们，然后后得得得辅辅佐朝夏的这个游戏文化大业要，而他最重要了，他还有他自己的一个对对，你们说你们说是不是现在杨哥都不怎么都不着家了。报总，你们说杨哥每次回家，家里人都怎么说呀？, Start Time: 3402260
Text: 我我今天杨杨杨哥差了，我来嗯啊孩孩子看你都不亲了吧。对我岳父都不理我，我说你你说你说说这事儿，我觉得这人又回回来了是一重重。因为家庭这事儿其实还是一核心。对啊，有家才有业嘛，有家才能成大业成。我觉得是这样，因为他们们支你你嘛，我觉得家里尤其其夫夫人那块还是非常支持的。, Start Time: 3423420
Text: 因为他我因们俩比较互相是比较比较了解嘛，而且他人嗯其实对我来说是挺挺挺宽容的吧。因为这个东西我想出来做这些事情，是做平台也好，还是做游戏店也好啊，这是想去实现自己的自己的梦想，是实现自己的价值。这一块东西他很支持我，包括之前有稳定的工作，也支持我。就但是铁饭碗对铁饭碗那块也也可以。, Start Time: 3446830
Text: 就是说你做起，你要是自己觉得做的没意思的事情，就就是就就不跟不开心就就就别做了嘛。这件事情因为我觉得因为你岁数比我们都大算是这里面大哥嘛。对，而且你就是铁饭碗，其实就是我们说就是体制内那种的。嗯，你要是你要是不干不干什么严重的事，一辈子肯定就是吃吃定就这样样，, Start Time: 3473840
Text: 是你叫是对对他错犯错误了，我现在不是严打厉害吗？四风建设是是不是？对，就是说呀就是这意思。嗯，我觉得很少有人真的能在你这个情况下，对，就是说呀就这种决定这个西这个东西西就是你去去追求自己想要的想要的东西嘛。包括那个我前一阵不是去一趟那个广东嘛，去那个深圳和广州去一趟，, Start Time: 3496600
Text: 然后见了咱们那个听众蒙哥和那个小十四萌哥不猥琐。对，萌哥不猥琐，和小小十四一块块见一面，然后说一块聊聊，就是喝聊两些事情嘛嘛现块聊聊这些事情，有时说说的，我也也也自个个说的，也挺感动的。嗯，就是说那个小十四说说杨哥，你那个他三十五岁，三十五岁人还在谈梦想的人，, Start Time: 3522610
Text: 确实挺奇葩的。你知道，那我不高兴，他用奇葩那个杨哥的梦是他他是好意思，他说就是就是就是他是我能理解他他是个好意思，就是说做在这个这个社会压力现在比较大嘛。然后现在做一个三十五岁的人，应该多去想想那个怎么去跟挣更多的钱，或者是怎么发展什么乱七八糟这些事情。而而比你谈所有事情，, Start Time: 3543190
Text: 就是现在还在谈自个儿的梦想，理想什么这这这些事情其实他了对们那种佩服，嗯，我我我所有事情是反正而且现在刚才刚才我想起我刚才接着那话说啊，就是你呃说做文化也好，也挺很辛苦啊，做实体什么也很辛苦。但是呢有些时候心里头会有一种会有一种动力和支持，其实是什么呢？其实就是现在呃在身边的些朋友友支持。, Start Time: 3566610
Text: 如果那歌里唱的好嘛，就是人字结构就是互相支撑嘛，是吧？嗯，支支撑你支支撑我大家互相支撑吗？是吧？嗯，我觉得现在就是这也是我一些一些一些就是感受支持你，我们都支持你。嗯，而且每次就是这一帮小将嘛，咱一块去杨歌店里边，比如说凑一块玩 DOA 或者玩那个街霸的时候，, Start Time: 3591220
Text: 基本上都特别高兴。嗯，而杨哥也通过玩街霸，认识了好多各种年龄层次。杨哥还学习了，对杨歌也学习不少学习了，确实是是学习了，而且有个地儿还是挺好。嗯嗯，也有个地儿，大家好长时间没这么乐呵了。嗯，其实其实怎么说呢，从三六零三六零那会儿进进入咱们的生活以来，大概有那么几年了。, Start Time: 3611680
Text: 真的啊，这这数数就别让我想了，反正就是就就就就几年了。哎，报道几年了呃，零零四年九年了，八年吧，八年、零四年、三二年、零五零五年、零五年八八就算八年吧，八年以来 live 和 PSN 进入进入咱们的玩家的生活。那确实我觉得提供了很多的便利，包括那会儿打战争机器，, Start Time: 3634570
Text: 我们打战队那个那个你那时候不是也结交了好多，对，确确实那会儿结结交了很多帮我们战队的人什么之类，结交很多人。但确我我说的是线上和线下的东西，就是说 live 和 PSN 给我们提供了好多便利，让我们不用走出家门，就可以跟朋友一块聊天和那个对战啊，咱们就连连个机什么之类的，, Start Time: 3657560
Text: 是吧？但是呢到后来我我我得就是现在在感受，就是说很多游戏呢还是能够那种坐在一起玩，大家一起面对面的那那种交流和欢乐，那那是那是另外一种的一种的感受。对你觉得西蒙是包括有眼神的交流，包括用用眼神去交流。对，是括言生生什什么之类，是是玩家的生活。言言语侮辱那方面面，, Start Time: 3676920
Text: 你说说对言言语辱辱就是就比如打打街霸什么之类的，就是就是用什么，反正就是就怎么说的，我操，真真想不起来，别人抱走。你补充一下，对红莲地狱，什么叫红莲地狱？红莲地狱就是我跟我就特别佩服杨哥啊，杨哥，这个我走寻常路嘛，一般大家知道那个街霸里边有一种无敌地叫圣叫神龙拳嘛。, Start Time: 3701910
Text: 一般。但是杨哥为了提高胜率，有一种独特的神龙拳的那个输入的方法是开始的时候就完全不懂吧。杨哥的升龙拳，就是你觉得他薅的时候肯定不好，然后过来背你，然后你要觉得哎肯定不会好，爸爸你薅一个。对，而且经常会根据不同的形态有变化。你觉得豪华的出游 c 你出的你你觉得出游 c 他出那个 SC，, Start Time: 3724510
Text: 后来但是大家很苦恼嘛。对，根本打不过杨军。对，后来就是发现好像杨哥把那个键位。对，后来有一天哦，真的对接过杨杨哥的手柄，破解他那秘密了。就是大家一般玩，我我们玩的时候没有摇杆，用手柄只你看上面是重的。对你像 PS 手柄只有只有四个键吧，但是接八十六个键，一般大家会把上面 l 一 l 二设成重拳重脚。, Start Time: 3747330
Text: 但是呢杨哥，我把上面四个全设成四个拳，而且全成三个拳，三个拳。然后但是而且杨一般的生龙拳指令是前下前拳，然后杨哥的说是下潜，下潜三个，对，他等于有时候大招。对，这是你看金刚葫芦娃是一条藤上七朵花，然后杨哥是一套指令，七种变化，就是你平常的时候钳下潜下潜是重成龙，, Start Time: 3771740
Text: 然后你有一条气儿的时候是 ES 双龙。对， UC 槽满的时候就是出成龙。对对对，是放大了。对对，经常就是下的指令都是一样的。对对，就是看状态，而对木压，这叫木压了，这叫技呀。对对对，杨哥说那个密西尔我识破了。对对对对，杨哥就是野路子嘛，完全是自己一套自己开发的，, Start Time: 3799260
Text: 各种不同的野技对野鸡打法。但是木兰杨哥学了一个新招，就是剩一丝血的时候干嘛呀？对，那是他们教我的。就是如果敌人剩了一丝血之后，你就蹲在地上摁摁前清泉就行了，他早晚就会死死你白点点。游戏主要现在很多玩家也希望有这么一个据点，让大家的时不常聚一块一块儿聊。嗯，, Start Time: 3824560
